track_id,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
6882173,117,F#,Minor,77,69,58,39,0,26,5
1397395,80,,Major,52,57,48,86,0,15,39
3475077,98,F,Major,44,36,41,50,0,38,5
6778924,178,C#,Minor,79,58,78,34,0,11,25
7653113,148,A,Major,51,27,33,48,0,22,3
8571641,120,D,Major,77,94,66,65,0,38,3
7517093,122,E,Minor,68,38,88,1,0,8,5
6161550,144,F,Major,74,75,73,42,0,9,4
4823840,96,D,Major,93,47,47,33,0,10,36
4502825,137,G#,Major,77,35,88,16,0,17,9
8297242,121,F#,Minor,94,71,61,12,0,53,42
2264316,119,A,Minor,60,10,57,1,0,50,3
4117642,96,D,Major,72,40,47,71,0,13,4
6966778,111,C#,Major,87,53,52,66,1,11,5
5442505,148,A,Major,90,74,68,14,0,10,19
7230461,182,A,Major,57,80,59,8,0,6,5
1774478,141,D,Major,79,82,86,28,0,4,9
5088165,145,E,Minor,76,80,81,19,0,6,9
3546474,110,B,Minor,76,26,70,1,0,41,6
4389214,134,G,Major,70,35,41,41,0,10,3
5757514,130,G,Major,92,78,62,18,0,6,10
4257818,145,A#,Major,84,88,53,35,0,8,7
2313207,130,B,Minor,69,36,90,1,10,15,4
3132809,173,,Major,59,69,53,12,0,23,3
8471078,92,B,Minor,75,55,76,25,0,10,15
8987545,105,F,Minor,56,57,87,0,1,10,4
6158916,175,G,Minor,59,15,64,43,90,12,10
4916659,120,G,Minor,80,33,70,22,0,9,4
6744187,139,D#,Minor,70,77,48,37,0,12,5
8513259,132,,Minor,59,56,82,12,0,12,6
6029543,114,A#,Major,32,17,74,14,0,17,3
4603662,145,B,Minor,54,19,48,36,0,37,5
5904115,110,,Major,82,67,69,0,0,18,4
2339996,94,G#,Major,89,61,66,17,0,36,16
6387600,134,C#,Major,45,17,60,21,0,33,4
7881394,120,G,Major,62,32,76,0,0,39,4
2084763,123,G,Minor,70,86,68,24,0,11,4
5555264,131,A#,Major,77,84,71,35,0,15,4
6766942,171,D,Major,70,6,73,1,0,36,26
4238748,130,E,Minor,80,64,76,2,0,20,6
2484929,94,B,Major,82,53,67,34,0,9,8
6619922,89,G,Minor,73,44,57,39,0,32,6
7989475,87,F,Minor,65,71,56,4,0,15,20
7996425,124,B,Minor,72,79,78,55,0,15,30
1111875,78,G#,Major,71,80,65,51,0,22,32
0:00,120,G#,Major,70,70,79,7,0,18,10
6083108,96,F#,Minor,48,50,80,40,0,37,20
3143453,106,G,Major,73,22,86,31,0,12,4
5615912,170,D,Minor,78,75,46,62,0,12,35
1214913,134,B,Minor,67,11,76,8,47,30,7
2135563,115,A#,Major,71,90,73,30,0,11,5
5239763,130,F#,Major,74,79,87,45,0,30,3
5142009,118,,Major,65,63,79,3,0,10,3
6107898,110,G,Major,59,22,38,42,0,12,3
5763974,100,A,Major,72,42,66,18,4,19,4
5402623,142,G,Minor,70,76,79,26,0,11,7
3694791,140,,Major,64,18,37,72,0,12,7
4832204,116,G,Major,90,96,73,62,0,9,4
3575524,120,A,Major,73,64,85,25,0,61,3
7402588,92,F,Minor,76,46,79,31,0,7,6
6333549,110,G#,Minor,81,64,79,5,0,31,3
5673293,120,A#,Major,71,57,97,1,0,13,11
5939675,80,G#,Major,63,40,61,9,0,56,6
5152397,115,F,Minor,95,43,69,47,0,9,31
8584244,76,A#,Major,58,46,67,65,0,13,4
1014962,172,F#,Major,60,77,78,45,0,12,6
7587856,99,A#,Major,40,45,56,69,0,9,5
6380084,136,,Minor,36,12,57,9,0,14,8
2775772,150,G#,Minor,90,64,14,67,35,11,10
6987709,92,A#,Minor,71,41,31,79,0,10,5
8001796,95,C#,Major,77,72,87,17,0,7,5
1035366,102,B,Minor,83,58,83,21,0,10,5
2578085,145,,Minor,70,34,55,43,0,16,6
3049716,110,A,Major,50,24,86,0,0,64,4
8246992,95,,Major,64,30,77,46,0,38,6
3986213,94,B,Minor,68,81,82,53,0,9,13
2840055,142,G,Major,61,92,91,0,0,26,3
5405010,145,F#,Minor,59,20,74,1,0,15,5
3853127,121,F#,Minor,64,67,80,0,0,36,3
2820265,140,D#,Minor,66,43,76,49,0,12,3
3895305,137,C#,Minor,84,44,67,8,0,11,6
3546129,104,G#,Major,56,72,85,0,0,15,3
4538543,92,F,Major,57,68,76,7,0,33,3
5073649,146,D,Minor,74,51,45,86,0,21,38
1824533,120,D,Major,56,20,43,89,0,12,4
2841488,144,D,Major,68,83,81,9,0,8,4
7021208,94,A,Major,59,44,56,80,0,6,3
4967469,94,G#,Major,73,65,79,5,2,11,6
2733163,113,G,Minor,79,66,74,8,0,11,5
3970396,148,E,Major,50,49,76,12,0,12,3
2853933,98,C#,Major,70,29,73,12,0,11,26
1740150,140,B,Major,58,26,38,91,0,10,4
3923468,100,G,Major,36,28,28,81,0,18,3
4141537,140,F#,Major,86,68,79,39,0,11,29
7166872,100,E,Minor,59,78,94,27,0,29,23
7921549,100,A,Minor,59,49,65,2,0,13,3
1910640,132,,Minor,87,82,70,42,0,21,5
1413502,142,D,Major,49,48,67,10,0,26,3
2395685,176,E,Minor,72,96,63,25,0,21,7
6402604,140,F#,Major,53,51,70,49,0,14,3
4552573,105,D#,Minor,55,40,90,1,0,32,6
2068804,135,F,Major,81,97,77,75,0,35,3
3519068,128,E,Minor,82,61,59,30,0,12,4
1912112,101,F,Major,74,43,69,12,0,12,7
6133453,122,A#,Major,88,43,50,7,0,14,5
3875589,105,,Minor,76,49,56,80,12,10,13
8024591,83,C#,Major,53,40,36,73,0,11,33
1519987,77,B,Minor,72,59,76,24,0,42,28
2061546,140,B,Minor,75,18,25,78,0,11,26
7204092,158,C#,Major,65,72,95,31,0,92,5
2767209,176,G,Major,75,43,65,15,0,11,32
6044216,98,B,Major,73,88,57,56,0,5,2
5911914,107,B,Minor,66,47,40,72,0,11,3
3347693,109,F,Minor,66,16,57,10,1,12,3
5080031,109,A#,Minor,84,72,74,10,0,34,7
3746522,148,,Major,53,61,81,5,0,36,4
5865058,158,F#,Minor,60,52,76,17,0,19,5
5031236,94,F,Minor,74,64,73,6,0,10,6
4942277,96,F#,Minor,70,40,51,35,0,10,4
1459555,100,F,Minor,80,29,67,29,0,12,3
4162862,105,A,Major,58,42,68,1,0,14,4
5972088,125,,Major,53,32,66,38,0,9,3
8704695,170,F#,Minor,56,56,63,13,0,19,27
2296238,115,,Major,70,84,90,17,0,41,6
2023447,122,G#,Major,64,25,89,0,0,15,9
4492232,105,A#,Minor,88,82,80,8,0,11,8
2817956,133,F,Major,66,74,84,25,0,21,4
7349725,100,,Major,79,60,68,7,0,26,4
7526938,120,D#,Minor,82,55,45,15,3,9,10
4562499,177,A,Major,25,17,30,90,0,13,3
6204936,142,D,Minor,64,31,72,15,0,9,5
5300224,144,E,Minor,57,47,84,1,1,52,4
7304378,120,B,Minor,65,80,86,9,0,19,10
8292846,135,D,Major,92,73,51,55,0,15,6
6363032,107,B,Major,81,82,78,38,0,12,4
6602768,105,G,Major,82,62,74,10,0,33,7
2432426,108,F#,Minor,44,38,77,9,0,9,20
4765423,147,,Minor,51,62,79,22,13,14,3
4978027,115,,Major,71,34,88,16,0,44,4
5937798,174,F,Major,70,57,64,23,0,8,32
8756692,90,A#,Minor,68,83,71,3,0,31,8
1239958,141,E,Minor,41,9,25,84,1,14,4
1776310,82,F,Major,68,50,49,56,0,8,4
5864281,92,F,Major,47,25,43,62,0,32,3
1936946,116,G#,Minor,77,65,80,6,0,15,4
2143818,124,A,Minor,79,59,86,4,0,8,11
8537557,125,A#,Minor,71,83,89,1,0,17,9
2122853,90,,Major,80,71,69,2,0,27,10
3827734,83,C#,Major,46,34,64,31,0,7,34
6891911,124,B,Minor,79,68,79,1,0,10,8
4635311,140,G#,Major,58,4,60,7,41,8,3
4794318,154,,Major,64,61,91,15,0,72,4
3378211,150,D#,Minor,74,89,70,2,0,5,6
1464404,186,E,Minor,41,9,61,2,0,12,5
1168222,166,G#,Minor,40,23,48,5,0,12,3
5526636,107,,Major,87,20,83,0,4,31,9
6055373,87,G,Major,87,52,52,31,0,28,24
8803071,82,G#,Major,40,39,64,21,0,7,7
8689972,114,A,Minor,46,60,28,91,0,21,4
3301347,148,G#,Major,47,15,52,38,13,29,5
2865125,140,F#,Major,91,97,57,38,0,40,29
3469822,101,G,Major,90,76,81,15,24,33,6
7741272,140,C#,Minor,81,6,84,5,23,6,6
1718193,88,G,Minor,49,24,66,19,0,18,29
3365981,180,C#,Major,64,44,65,28,0,14,12
6643902,133,D,Major,95,91,89,6,0,31,24
1832626,108,A#,Minor,63,20,55,72,0,6,6
1534505,80,F,Minor,39,24,43,39,0,23,3
6640464,75,B,Minor,80,46,62,3,6,11,46
6416915,121,F#,Minor,67,26,64,52,0,17,10
1221828,140,D,Minor,58,17,62,18,0,20,8
1203746,126,B,Minor,81,59,90,5,0,36,3
2009624,102,C#,Major,58,29,94,0,0,9,11
7477767,82,A,Major,70,31,34,60,1,11,4
6775509,121,C#,Minor,46,53,78,23,0,72,6
5415405,103,F#,Minor,70,92,83,1,0,7,6
5346382,108,F,Minor,82,88,76,9,0,12,9
7662363,85,F,Minor,65,36,47,31,0,12,10
8399372,125,C#,Minor,84,70,69,1,0,5,5
3146245,120,D,Major,69,40,39,41,0,13,6
3163708,94,,Major,58,44,57,57,0,10,3
2475712,130,F#,Minor,65,49,80,22,4,7,5
1967014,110,E,Major,74,51,74,2,0,29,4
4490744,150,G,Major,34,33,63,16,0,7,4
7224008,107,B,Minor,74,88,65,28,0,46,3
8576945,140,G#,Major,70,85,41,71,0,45,5
6372609,119,D,Major,74,78,37,84,0,6,3
7546342,93,E,Major,35,38,23,91,0,29,3
1236328,133,G,Major,46,53,63,5,0,30,18
5350503,202,G,Major,24,76,60,77,0,12,4
4277985,134,C#,Major,45,72,24,91,0,18,4
2886961,105,C#,Major,72,33,51,48,0,9,3
4278371,160,G#,Major,51,69,81,0,0,21,5
4069645,148,D,Major,50,96,82,47,0,34,4
4319986,151,G,Major,65,70,47,87,0,9,4
5666047,162,F#,Minor,67,88,54,51,0,9,4
6900582,92,D,Major,53,84,77,40,0,32,3
6791135,152,C#,Major,65,35,65,44,18,21,7
4989276,65,A,Minor,71,55,26,85,0,13,8
2148200,147,D,Major,33,39,61,32,0,77,3
3439901,150,A#,Minor,73,71,69,53,0,32,9
4002890,140,,Major,67,81,36,64,0,15,3
3087104,139,C#,Major,36,22,15,84,0,11,4
8476304,95,B,Major,75,74,58,36,0,9,3
3891081,115,,Major,60,23,57,0,2,27,3
5179092,125,F#,Major,62,59,43,84,3,11,5
4611820,76,,Major,60,19,20,78,0,11,5
4738813,101,C#,Minor,72,91,87,14,0,13,3
8753775,143,D,Major,60,86,32,88,0,34,6
7780139,119,G,Minor,51,51,66,67,0,9,23
7122267,78,A,Major,67,22,59,76,1,15,16
6909746,96,A,Major,23,19,25,91,0,40,3
6593931,180,A,Major,51,87,58,36,0,18,4
3867590,126,D#,Major,34,35,76,39,0,8,5
2070479,150,F,Major,43,42,44,57,0,15,6
4991676,90,D,Major,53,47,74,9,0,34,4
2628329,160,F,Major,72,78,68,28,0,11,12
7387090,114,,Major,59,60,94,24,0,10,4
1291434,113,G,Major,73,72,32,77,0,15,5
7699876,147,,Major,67,69,72,17,0,19,3
3461405,100,B,Minor,70,92,59,3,0,10,3
3305057,155,G#,Major,49,42,77,3,0,12,9
3782910,107,G,Minor,54,41,39,51,0,11,16
8283550,112,G#,Major,80,15,54,9,0,38,5
8173823,166,C#,Major,70,57,57,9,20,11,7
8167749,107,F#,Minor,69,96,36,81,0,8,4
7103818,81,G#,Major,47,33,68,24,0,22,38
2587921,150,C#,Major,79,77,46,5,0,11,7
5282587,110,A,Major,66,19,32,69,0,12,4
2284105,108,G,Major,64,4,40,6,0,10,6
8164697,130,E,Minor,89,48,74,30,0,7,36
1218742,164,G,Major,70,39,56,6,0,9,7
4662762,114,B,Minor,80,42,68,2,0,66,4
2616615,93,F,Major,63,93,88,1,0,12,4
6879361,90,C#,Minor,87,51,69,36,0,9,8
2678616,128,B,Major,45,35,68,78,0,39,8
3341212,97,A,Major,83,47,80,2,0,24,9
8597238,152,G,Minor,69,94,71,79,0,7,8
3092002,175,G#,Major,51,94,34,73,0,10,5
5602322,116,D,Major,61,48,55,67,0,16,8
6143073,80,F,Minor,33,51,59,76,0,44,6
2468227,93,B,Minor,63,34,86,26,0,21,39
6389379,122,E,Major,70,42,54,30,0,37,5
7726159,122,G,Major,70,91,79,3,0,7,10
4491971,135,A,Minor,70,60,58,4,0,16,3
5380546,109,F,Major,60,45,47,62,0,31,5
7853001,93,,Minor,65,82,74,27,0,32,5
6984128,125,B,Minor,85,64,81,2,5,7,9
7235348,206,,Minor,58,83,45,36,0,11,8
4365318,130,G,Major,76,44,77,1,0,13,3
4501584,121,G,Minor,80,62,51,2,0,9,8
6131592,123,F#,Minor,74,35,73,0,0,21,5
8186517,122,B,Minor,67,50,67,15,0,30,4
5426643,143,,Major,53,50,79,0,0,8,3
1119309,121,A#,Minor,70,35,77,1,0,26,4
6554843,166,F#,Minor,56,68,66,28,0,11,18
