track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
5243367,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540
4311407,Snooze,SZA,1,2022,12,9,2839,25,399686758
1216337,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508
8365464,Take Two,BTS,1,2023,6,9,674,47,118482347
1729982,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184
2540650,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165
2619841,Chemical,Post Malone,1,2023,4,14,2528,39,172825906
2394886,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043
4928987,New Jeans,NewJeans,1,2023,7,7,77,35,29562220
2698226,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611
8797570,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506
4495422,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633
2480109,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900
4350729,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694
7811952,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526
3381390,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294
3225408,LAGUNAS,"Jasiel Nu��ez, Peso P",2,2023,6,22,58,18,39058561
8943060,Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123
8965193,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614
8189388,No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570
5667205,Tattoo,Loreen,1,2023,2,25,2988,59,201660859
1696728,Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961
7264781,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",3,2023,5,12,1094,34,90839753
6556428,august,Taylor Swift,1,2020,7,24,7324,22,607123776
1717593,LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345
1549051,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784
4890651,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938
8110201,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762
3739768,Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424
7783887,Feliz Cumplea��os Fe,Feid,1,2022,8,19,3430,38,601863821
3605651,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826
3869741,Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122
4826716,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893
8262356,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503
1121286,Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746
2437608,OMG,NewJeans,1,2023,1,2,1783,27,430977451
4458161,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874
4669801,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598
7750995,505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710
4497491,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132
2121928,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178
6953068,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632
3253565,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074
8013969,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126
4181228,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133
8129977,Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253
1589586,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641
1663974,Without Me,Eminem,1,2002,1,1,21081,43,1687664027
4214662,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388
7910702,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552
7384134,Ojitos Lindos,"Bomba Est��reo, Bad B",2,2022,5,6,6135,38,1133865788
3412305,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494
8251078,Those Eyes,New West,1,2019,5,10,1507,14,411747614
1078549,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395
8209238,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544
6776344,Bye,Peso Pluma,1,2023,5,26,324,14,95053634
3766692,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863
4335470,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632
3369956,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984
1207987,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275
3007244,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532
7325433,Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183
6698200,Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737
3153550,Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809
7143216,PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885
7806612,Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613
