track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
5810373,41,122,394,0,2
6352056,86,76,59,0,16
4727736,105,2,73,13,1
8056641,43,15,116,0,
6575753,69,3,70,0,3
8452012,180,135,223,0,5
1582892,54,28,43,0,0
4967426,83,9,100,0,4
1289598,117,39,141,0,46
3745752,239,163,583,0,
8333879,44,0,159,0,0
6002262,110,145,447,0,46
5334385,17,5,21,0,0
2011518,101,34,70,1,2
7345306,237,123,569,0,10
4666772,45,43,45,0,3
1828042,171,51,187,1,21
4061483,16,0,54,0,0
3329363,81,93,507,6,4
3559931,20,38,12,0,0
7332091,1,1,3,0,0
7423770,24,47,74,0,0
7435337,23,21,121,0,13
2439081,111,5,182,1,0
2634614,42,70,384,0,3
4464368,3,0,5,0,0
1640645,17,89,11,0,0
1839223,237,27,636,0,
3657141,13,27,8,0,0
2726514,14,14,24,0,4
8715137,13,0,32,1,0
7403072,25,46,105,0,45
2542321,24,6,105,0,0
5085460,43,19,73,12,0
6163158,205,130,625,0,25
3023667,25,3,52,0,1
2237089,195,125,"6,280",2,78
3386819,103,76,100,1,1
5930788,60,17,154,0,22
8096695,20,21,99,0,7
3393833,54,16,259,0,13
3557036,255,32,582,0,14
7298366,175,55,95,0,2
5624903,65,88,434,3,13
4169887,7,3,89,0,0
8744804,20,99,44,0,2
6261319,111,127,210,0,37
3612400,92,127,"1,219",0,62
1513475,122,11,201,0,1
3872585,4,2,50,0,0
2835063,29,0,44,0,0
4131863,39,45,250,0,0
4782067,19,0,38,0,0
6047703,146,18,478,0,7
4102590,101,12,38,0,0
2643038,30,2,5,0,6
5046895,5,0,862,0,0
2602763,167,19,318,0,1
7456153,92,122,"1,282",0,55
4586215,174,73,344,0,0
6195210,144,30,86,0,0
4105518,36,82,39,0,5
1367281,8,8,8,2,0
2969661,533,167,"3,595",6,
8949659,188,34,710,0,5
5498548,92,34,131,0,0
4152167,308,118,"4,534",2,77
5615333,265,121,"12,367",4,160
6181977,107,47,584,1,
6599493,118,116,96,0,3
2582262,22,3,0,0,0
5922471,0,4,23,0,0
5406019,114,15,63,0,2
1512850,306,99,"5,063",2,120
7822780,2,12,10,0,0
8454029,93,5,67,1,0
2092930,85,87,179,0,12
5074676,368,155,"2,854",6,121
4064553,10,56,17,0,0
2346155,143,24,110,0,70
5459112,77,134,74,0,2
7271843,209,54,710,0,18
5347552,141,12,78,0,0
1486311,78,46,"2,515",1,0
2635416,272,67,"1,066",1,19
1647815,72,0,0,0,0
6457168,17,3,3,0,0
4600873,89,21,65,0,0
1633830,24,92,93,0,0
1027228,61,23,70,1,0
2407166,30,26,15,0,0
2838411,151,102,175,5,29
2285737,141,78,"6,591",1,0
1461831,4,113,20,0,1
1906058,76,0,102,0,2
1130135,46,1,34,0,0
3333614,142,40,"5,451",1,953
7120733,119,6,85,1,1
1336403,34,3,30,0,0
6554322,34,1,31,0,0
3115886,124,27,587,0,4
4918126,235,106,"5,221",1,35
1159428,105,12,51,0,12
8126826,13,0,113,1,3
6792432,33,123,7,0,4
1992045,22,13,65,0,6
8290102,24,85,102,0,1
7885122,45,1,80,0,12
2816072,7,21,2,0,0
7717973,11,0,10,0,0
7870658,19,5,12,0,0
2828618,128,17,"1,663",0,0
3363172,78,15,"1,674",0,3
2761463,57,13,50,1,7
2003358,44,63,91,0,24
5223297,284,114,"1,481",0,5
5694303,83,63,"4,180",0,0
2744235,65,45,398,0,1
1386091,5,1,62,0,0
4974042,21,20,40,0,0
3923724,47,3,42,12,6
5418507,10,0,39,0,0
6427223,42,7,15,0,4
6213355,25,0,14,0,0
3434265,20,3,24,0,0
3814674,28,73,64,0,0
7298940,43,36,46,13,4
6950436,3,0,28,0,1
3181974,363,129,"3,895",0,28
1647722,47,116,266,0,0
3521113,8,106,6,0,8
3569943,35,104,93,1,0
2392756,8,67,66,0,0
1338081,42,1,26,0,0
1050544,21,86,138,0,2
7165052,8,0,29,0,0
1660982,453,50,"1,785",1,8
1322961,13,7,55,0,1
8483246,246,71,519,2,5
8134740,52,42,100,0,0
8217918,45,27,"1,197",0,43
1904497,69,2,51,11,0
7860258,185,40,492,9,35
3170547,46,16,53,1,2
5145584,123,113,180,1,4
5701355,29,40,31,1,1
7700274,12,4,0,0,0
4703367,26,1,58,0,0
8569518,45,0,99,1,1
1840761,18,82,0,0,5
4265182,7,11,13,0,0
3076130,29,2,35,1,0
3371670,42,0,24,0,0
6348243,16,41,13,1,1
5697442,10,21,7,0,9
2153574,27,84,32,7,11
4722538,0,0,14,0,0
2762640,26,1,19,0,0
4551026,16,5,43,0,7
3775590,13,1,15,0,1
3739389,321,162,"5,691",8,17
6824324,11,10,267,0,7
5370460,233,82,531,1,1
7405938,315,160,"6,284",1,46
8835305,10,0,70,0,0
3154799,2,0,12,0,10
5355322,36,2,11,0,14
6523480,336,188,"2,692",3,30
5831523,315,159,"2,179",0,44
2166249,9,66,10,0,0
3780370,217,136,"6,508",1,
2748330,15,48,50,0,3
5663428,163,32,137,15,12
6009839,32,0,19,0,0
7724259,68,24,43,1,0
6390690,55,3,32,0,0
4518298,75,11,44,0,14
5191929,21,0,31,0,0
7792660,79,80,250,3,10
8055412,28,124,13,0,1
7500786,49,17,30,0,0
4557678,11,0,7,0,0
1904373,155,5,577,0,6
6130665,24,0,52,0,0
7429862,52,25,32,0,10
2661792,26,3,39,0,0
3841850,14,0,11,0,0
7434389,31,9,15,0,1
5128815,12,2,4,0,0
6116514,11,6,12,0,15
