track_id,track_name,artist_s__name,artist_count,release_date,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts_moda,total_playlists,streams_int,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,mode,quartiles_streams,streams_classification,bpm_classification,danceability_classification,valence_classification,energy_classification,acousticness_classification,instrumentalness_classification,liveness_classification,speechiness_classification,spotify_playlists_classification,spotify_charts_classification,apple_playlists_classification,apple_charts_classification,deezer_playlists_classification,deezer_charts_classification,shazam_charts_classification,total_playlists_classification
8917301,BAILE NO MORRO,"MC VITIN DA IGREJINHA, MC TAIRON, DJ WIN",3,10/06/2022,685,2,17,0,24,0,30,733,129314708,130,71,78,40,46,0,7,45,Minor,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3747351,"PHIR AUR KYA CHAHIYE (FROM ""ZARA HATKE ZARA BACHKE"")","ARIJIT SINGH, SACHIN-JIGAR, AMITABHA BHATTACHARYA",3,15/05/2023,178,6,6,71,1,0,31,180,64533040,100,56,53,55,53,0,12,4,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
5168392,BARBIE WORLD (WITH AQUA) [FROM BARBIE THE ALBUM],"NICKI MINAJ, AQUA, ICE SPICE",3,23/06/2023,1117,80,82,145,65,16,1133,1247,65156199,144,77,75,58,52,0,23,25,Major,1,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Alto,Alto,Baixo
8129977,NOVO BALAN,"VEIGH, BVGA BEATZ, SUPERNOVA ENT, PROD MALAX",4,19/05/2023,283,7,6,9,26,1,66,335,81102253,124,84,65,50,67,0,13,6,Minor,1,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo
4497491,"CALLING (SPIDER-MAN: ACROSS THE SPIDER-VERSE) (METRO BOOMIN & SWAE LEE, NAV, FEAT. A BOOGIE WIT DA HOODIE)","SWAE LEE, A BOOGIE WIT DA HOODIE, METRO BOOMIN, NAV",4,02/06/2023,1051,16,31,37,31,0,189,1113,109276132,140,63,22,54,46,0,12,8,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo
8597238,RUN RUDOLPH RUN - SINGLE VERSION,CHUCK BERRY,1,01/01/1958,8612,0,120,30,52,0,1,8716,245350949,152,69,94,71,79,0,7,8,Minor,2,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Alto
4064553,POLAROID LOVE,ENHYPEN,1,10/01/2022,461,0,10,56,17,0,0,495,211372494,138,74,65,67,46,0,36,4,Minor,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3092002,JINGLE BELLS - REMASTERED 1999,FRANK SINATRA,1,01/01/1957,4326,0,32,3,65,0,0,4456,178660459,175,51,94,34,73,0,10,5,Major,2,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2307433,LITTLE FREAK,HARRY STYLES,1,20/05/2022,2302,0,20,3,39,0,0,2380,273194684,142,56,40,54,72,0,10,4,Major,2,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
6193307,LOVE OF MY LIFE,HARRY STYLES,1,20/05/2022,1933,0,13,2,31,0,0,1995,233671263,118,56,20,54,67,0,6,5,Major,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2392756,WHEN I R.I.P.,LABRINTH,1,04/10/2019,2578,0,8,67,66,0,0,2710,203680270,80,39,45,55,73,0,9,21,Minor,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1050544,FOREVER,LABRINTH,1,04/10/2019,3618,0,21,86,138,0,2,3894,282883169,80,56,19,46,92,72,11,3,Minor,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3933523,FLOWERS,LAUREN SPENCER SMITH,1,09/08/2021,801,0,42,9,24,1,1,849,184826429,138,70,31,44,84,0,9,39,Major,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2775772,HEART TO HEART,MAC DEMARCO,1,10/05/2019,1640,0,27,27,29,1,1,1698,244658767,150,90,64,14,67,35,11,10,Minor,2,Baixo,Alto,Alto,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
7298940,HRS AND HRS,MUNI LONG,1,19/11/2021,1800,0,43,36,46,13,4,1892,181328253,140,51,66,53,60,0,11,18,Minor,2,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo
